country,code,year,total_mt,per_capita_t
World,OWID_WRL,1850,196.85,0.154
World,OWID_WRL,1851,198.78,0.155
World,OWID_WRL,1852,207.6,0.162
World,OWID_WRL,1853,217.24,0.169
World,OWID_WRL,1854,255.04,0.199
World,OWID_WRL,1855,260.26,0.202
World,OWID_WRL,1856,278.25,0.216
World,OWID_WRL,1857,281.18,0.218
World,OWID_WRL,1858,285.55,0.221
World,OWID_WRL,1859,302.57,0.234
World,OWID_WRL,1860,332.3,0.256
World,OWID_WRL,1861,349.19,0.268
World,OWID_WRL,1862,355.99,0.273
World,OWID_WRL,1863,379.53,0.29
World,OWID_WRL,1864,409.53,0.312
World,OWID_WRL,1865,434.85,0.33
World,OWID_WRL,1866,449.07,0.34
World,OWID_WRL,1867,480.81,0.363
World,OWID_WRL,1868,494.49,0.372
World,OWID_WRL,1869,524.73,0.393
World,OWID_WRL,1870,536.12,0.4
World,OWID_WRL,1871,569.78,0.423
World,OWID_WRL,1872,630.96,0.466
World,OWID_WRL,1873,670.47,0.493
World,OWID_WRL,1874,628.66,0.46
World,OWID_WRL,1875,681.05,0.495
World,OWID_WRL,1876,690.58,0.5
World,OWID_WRL,1877,704.03,0.506
World,OWID_WRL,1878,709.65,0.508
World,OWID_WRL,1879,759.79,0.54
World,OWID_WRL,1880,858.23,0.607
World,OWID_WRL,1881,888.17,0.624
World,OWID_WRL,1882,938.16,0.654
World,OWID_WRL,1883,997.86,0.691
World,OWID_WRL,1884,1009.76,0.694
World,OWID_WRL,1885,1017.49,0.694
World,OWID_WRL,1886,1032.99,0.699
World,OWID_WRL,1887,1084.28,0.729
World,OWID_WRL,1888,1201.34,0.801
World,OWID_WRL,1889,1202.1,0.796
World,OWID_WRL,1890,1307.26,0.86
World,OWID_WRL,1891,1369.6,0.894
World,OWID_WRL,1892,1380.54,0.895
World,OWID_WRL,1893,1363.18,0.878
World,OWID_WRL,1894,1412.23,0.904
World,OWID_WRL,1895,1495.96,0.951
World,OWID_WRL,1896,1545.45,0.976
World,OWID_WRL,1897,1618.41,1.016
World,OWID_WRL,1898,1706.97,1.064
World,OWID_WRL,1899,1864.42,1.154
World,OWID_WRL,1900,1962.88,1.206
World,OWID_WRL,1901,2025.63,1.235
World,OWID_WRL,1902,2076.96,1.256
World,OWID_WRL,1903,2264.59,1.358
World,OWID_WRL,1904,2290.25,1.362
World,OWID_WRL,1905,2440.57,1.44
World,OWID_WRL,1906,2548.98,1.491
World,OWID_WRL,1907,2904.95,1.684
World,OWID_WRL,1908,2790.4,1.604
World,OWID_WRL,1909,2907.11,1.658
World,OWID_WRL,1910,3050.27,1.726
World,OWID_WRL,1911,3097.21,1.74
World,OWID_WRL,1912,3253.93,1.815
World,OWID_WRL,1913,3524.85,1.953
World,OWID_WRL,1914,3197.75,1.76
World,OWID_WRL,1915,3148.03,1.721
World,OWID_WRL,1916,3400.23,1.847
World,OWID_WRL,1917,3556.5,1.919
World,OWID_WRL,1918,3506.08,1.878
World,OWID_WRL,1919,3041.11,1.617
World,OWID_WRL,1920,3546.76,1.871
World,OWID_WRL,1921,3114.99,1.63
World,OWID_WRL,1922,3264.72,1.694
World,OWID_WRL,1923,3703.0,1.905
World,OWID_WRL,1924,3716.14,1.895
World,OWID_WRL,1925,3740.63,1.89
World,OWID_WRL,1926,3677.41,1.842
World,OWID_WRL,1927,4012.95,1.992
World,OWID_WRL,1928,3996.31,1.966
World,OWID_WRL,1929,4288.21,2.09
World,OWID_WRL,1930,3958.09,1.91
World,OWID_WRL,1931,3539.32,1.692
World,OWID_WRL,1932,3192.59,1.511
World,OWID_WRL,1933,3362.68,1.575
World,OWID_WRL,1934,3656.19,1.695
World,OWID_WRL,1935,3835.74,1.76
World,OWID_WRL,1936,4207.93,1.911
World,OWID_WRL,1937,4496.71,2.021
World,OWID_WRL,1938,4229.62,1.881
World,OWID_WRL,1939,4470.13,1.969
World,OWID_WRL,1940,4884.66,2.131
World,OWID_WRL,1941,4999.09,2.162
World,OWID_WRL,1942,4982.52,2.137
World,OWID_WRL,1943,5075.27,2.161
World,OWID_WRL,1944,5162.49,2.181
World,OWID_WRL,1945,4289.31,1.799
World,OWID_WRL,1946,4608.55,1.918
World,OWID_WRL,1947,5165.2,2.133
World,OWID_WRL,1948,5447.88,2.231
World,OWID_WRL,1949,5204.03,2.109
World,OWID_WRL,1950,5930.41,2.379
World,OWID_WRL,1951,6381.65,2.516
World,OWID_WRL,1952,6467.7,2.503
World,OWID_WRL,1953,6651.04,2.525
World,OWID_WRL,1954,6789.73,2.528
